tas,date, Country, ISO3, ISO2
25.2452,1924-10,KEN,,
25.0472,1924-11,KEN,,
24.9034,1924-12,KEN,,
24.9577,1925-1,KEN,,
25.4741,1925-2,KEN,,
25.9748,1925-3,KEN,,
25.3264,1925-4,KEN,,
24.6976,1925-5,KEN,,
23.9383,1925-6,KEN,,
23.5253,1925-7,KEN,,
23.7764,1925-8,KEN,,
24.2026,1925-9,KEN,,
24.6238,1925-10,KEN,,
24.4825,1925-11,KEN,,
24.3716,1925-12,KEN,,
24.7812,1926-1,KEN,,
25.579,1926-2,KEN,,
25.7263,1926-3,KEN,,
24.7677,1926-4,KEN,,
24.704,1926-5,KEN,,
23.8233,1926-6,KEN,,
23.3751,1926-7,KEN,,
23.7528,1926-8,KEN,,
24.2074,1926-9,KEN,,
24.7391,1926-10,KEN,,
24.5925,1926-11,KEN,,
24.0988,1926-12,KEN,,
24.8013,1927-1,KEN,,
25.5681,1927-2,KEN,,
25.9549,1927-3,KEN,,
24.6227,1927-4,KEN,,
23.8426,1927-5,KEN,,
22.9404,1927-6,KEN,,
22.902,1927-7,KEN,,
23.6893,1927-8,KEN,,
24.3079,1927-9,KEN,,
25.1934,1927-10,KEN,,
25.2221,1927-11,KEN,,
24.7951,1927-12,KEN,,
24.7262,1928-1,KEN,,
25.5928,1928-2,KEN,,
26.3955,1928-3,KEN,,
25.9106,1928-4,KEN,,
24.8128,1928-5,KEN,,
23.2845,1928-6,KEN,,
23.1202,1928-7,KEN,,
23.2725,1928-8,KEN,,
24.2841,1928-9,KEN,,
25.268,1928-10,KEN,,
25.2827,1928-11,KEN,,
24.6628,1928-12,KEN,,
24.801,1929-1,KEN,,
26.1595,1929-2,KEN,,
26.4174,1929-3,KEN,,
25.3442,1929-4,KEN,,
24.5744,1929-5,KEN,,
23.0847,1929-6,KEN,,
22.4397,1929-7,KEN,,
22.7372,1929-8,KEN,,
23.5965,1929-9,KEN,,
24.7214,1929-10,KEN,,
24.4808,1929-11,KEN,,
24.6451,1929-12,KEN,,
24.9317,1930-1,KEN,,
25.5846,1930-2,KEN,,
25.8699,1930-3,KEN,,
25.2465,1930-4,KEN,,
23.8955,1930-5,KEN,,
22.8705,1930-6,KEN,,
22.3082,1930-7,KEN,,
22.6506,1930-8,KEN,,
23.5341,1930-9,KEN,,
24.4703,1930-10,KEN,,
24.4058,1930-11,KEN,,
24.4986,1930-12,KEN,,
24.8551,1931-1,KEN,,
